PeakID (cmd=annotatePeaks.pl classification/results/raw_results/human_mapped_from_mouse_enhancers.bed /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/hg38.fa -gff3 /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/gencode.v47.annotation.gff3.gz)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr14-858	chr14	69880031	69880774	+	69885339	NA	NA	NA	NA	NA								
chr14-864	chr14	69955735	69956440	+	69885339	NA	NA	NA	NA	NA								
chr14-854	chr14	69879329	69879909	+	69885339	NA	NA	NA	NA	NA								
chr14-863	chr14	69954805	69955440	+	69885339	NA	NA	NA	NA	NA								
chr4-676	chr4	69857363	69857925	+	69841211	NA	NA	NA	NA	NA								
chr12-1353	chr12	69829111	69829337	+	69825226	NA	NA	NA	NA	NA								
chr4-675	chr4	69819688	69819978	+	69810779	NA	NA	NA	NA	NA								
chr14-847	chr14	69792978	69793916	+	69804202	NA	NA	NA	NA	NA								
chr14-846	chr14	69792978	69793916	+	69804202	NA	NA	NA	NA	NA								
chr14-852	chr14	69809237	69810850	+	69804202	NA	NA	NA	NA	NA								
chr14-851	chr14	69809237	69810850	+	69804202	NA	NA	NA	NA	NA								
chr14-849	chr14	69796868	69797574	+	69804202	NA	NA	NA	NA	NA								
chr14-850	chr14	69796868	69797574	+	69804202	NA	NA	NA	NA	NA								
chr14-844	chr14	69792612	69792825	+	69804202	NA	NA	NA	NA	NA								
chr14-853	chr14	69818662	69819227	+	69804202	NA	NA	NA	NA	NA								
chr14-845	chr14	69792978	69793916	+	69804202	NA	NA	NA	NA	NA								
chr14-848	chr14	69796868	69797574	+	69804202	NA	NA	NA	NA	NA								
chr4-674	chr4	69759146	69759662	+	69791871	NA	NA	NA	NA	NA								
chr16-791	chr16	69779499	69779942	+	69785993	NA	NA	NA	NA	NA								
chr14-842	chr14	69766981	69767237	+	69775415	NA	NA	NA	NA	NA								
chr14-843	chr14	69767384	69767917	+	69775415	NA	NA	NA	NA	NA								
chr3-1403	chr3	69831122	69831934	+	69769486	NA	NA	NA	NA	NA								
chr3-1404	chr3	69831122	69831934	+	69769486	NA	NA	NA	NA	NA								
chr3-1402	chr3	69823726	69824087	+	69769486	NA	NA	NA	NA	NA								
chr15-865	chr15	69758925	69759332	+	69748673	NA	NA	NA	NA	NA								
chr15-864	chr15	69729075	69729501	+	69748673	NA	NA	NA	NA	NA								
chr6-1214	chr6	69795549	69797966	+	69745870	NA	NA	NA	NA	NA								
chr6-1213	chr6	69729919	69730135	+	69745870	NA	NA	NA	NA	NA								
chr6-1215	chr6	69795549	69797966	+	69745870	NA	NA	NA	NA	NA								
chr6-1218	chr6	69795549	69797966	+	69745870	NA	NA	NA	NA	NA								
chr6-1217	chr6	69795549	69797966	+	69745870	NA	NA	NA	NA	NA								
chr6-1216	chr6	69795549	69797966	+	69745870	NA	NA	NA	NA	NA								
chr3-1401	chr3	69687720	69687977	+	69739455	NA	NA	NA	NA	NA								
chr14-840	chr14	69719568	69720024	+	69726899	NA	NA	NA	NA	NA								
chr14-837	chr14	69674125	69674950	+	69726899	NA	NA	NA	NA	NA								
chr14-841	chr14	69721013	69721837	+	69726899	NA	NA	NA	NA	NA								
chr14-839	chr14	69683852	69684358	+	69726899	NA	NA	NA	NA	NA								
chr14-838	chr14	69674125	69674950	+	69726899	NA	NA	NA	NA	NA								
chr4-673	chr4	69751166	69751964	+	69721166	NA	NA	NA	NA	NA								
chr12-1352	chr12	69689030	69689579	+	69713632	NA	NA	NA	NA	NA								
chr9-596	chr9	69759221	69760424	+	69709521	NA	NA	NA	NA	NA								
chr9-597	chr9	69759221	69760424	+	69709521	NA	NA	NA	NA	NA								
chr6-1212	chr6	69702010	69702644	+	69705286	NA	NA	NA	NA	NA								
chr6-1211	chr6	69702010	69702644	+	69705286	NA	NA	NA	NA	NA								
chr2-1138	chr2	69741487	69742721	+	69700191	NA	NA	NA	NA	NA								
chr2-1139	chr2	69741487	69742721	+	69700191	NA	NA	NA	NA	NA								
chr2-1137	chr2	69741487	69742721	+	69700191	NA	NA	NA	NA	NA								
chr2-1136	chr2	69741487	69742721	+	69700191	NA	NA	NA	NA	NA								
chr11-1281	chr11	69704486	69705299	+	69698237	NA	NA	NA	NA	NA								
chr11-1280	chr11	69704486	69705299	+	69698237	NA	NA	NA	NA	NA								
chr10-808	chr10	69716935	69717198	+	69684898	NA	NA	NA	NA	NA								
chr6-1210	chr6	69349729	69350137	+	69672756	NA	NA	NA	NA	NA								
chr9-595	chr9	69593436	69593669	+	69672748	NA	NA	NA	NA	NA								
chr11-1279	chr11	69674728	69675646	+	69653075	NA	NA	NA	NA	NA								
chr11-1278	chr11	69674728	69675646	+	69653075	NA	NA	NA	NA	NA								
chr11-1277	chr11	69657050	69658498	+	69653075	NA	NA	NA	NA	NA								
chr11-1276	chr11	69657050	69658498	+	69653075	NA	NA	NA	NA	NA								
chr11-1275	chr11	69637877	69638125	+	69641155	NA	NA	NA	NA	NA								
chr10-807	chr10	69644631	69644991	+	69630246	NA	NA	NA	NA	NA								
chr10-806	chr10	69639242	69639617	+	69630246	NA	NA	NA	NA	NA								
chr14-836	chr14	69664914	69665732	+	69617121	NA	NA	NA	NA	NA								
chr14-832	chr14	69637156	69638069	+	69617121	NA	NA	NA	NA	NA								
chr14-831	chr14	69637156	69638069	+	69617121	NA	NA	NA	NA	NA								
chr14-833	chr14	69637156	69638069	+	69617121	NA	NA	NA	NA	NA								
chr14-834	chr14	69657968	69658333	+	69617121	NA	NA	NA	NA	NA								
chr14-835	chr14	69664914	69665732	+	69617121	NA	NA	NA	NA	NA								
chr7-774	chr7	69809455	69810254	+	69598295	NA	NA	NA	NA	NA								
chr7-773	chr7	69809455	69810254	+	69598295	NA	NA	NA	NA	NA								
chr7-770	chr7	69770229	69770804	+	69598295	NA	NA	NA	NA	NA								
chr7-767	chr7	69678313	69678662	+	69598295	NA	NA	NA	NA	NA								
chr7-775	chr7	70071779	70072214	+	69598295	NA	NA	NA	NA	NA								
chr7-772	chr7	69809455	69810254	+	69598295	NA	NA	NA	NA	NA								
chr7-768	chr7	69698150	69698676	+	69598295	NA	NA	NA	NA	NA								
chr7-771	chr7	69770229	69770804	+	69598295	NA	NA	NA	NA	NA								
chr7-769	chr7	69698150	69698676	+	69598295	NA	NA	NA	NA	NA								
chr4-672	chr4	69638984	69639140	+	69588416	NA	NA	NA	NA	NA								
chr17-1513	chr17	69607142	69607457	+	69577250	NA	NA	NA	NA	NA								
chr17-1512	chr17	69531959	69532260	+	69577250	NA	NA	NA	NA	NA								
chr14-829	chr14	69574585	69575001	+	69569798	NA	NA	NA	NA	NA								
chr14-830	chr14	69574585	69575001	+	69569798	NA	NA	NA	NA	NA								
chr14-826	chr14	69571856	69573420	+	69569798	NA	NA	NA	NA	NA								
chr14-827	chr14	69571856	69573420	+	69569798	NA	NA	NA	NA	NA								
chr14-825	chr14	69571856	69573420	+	69569798	NA	NA	NA	NA	NA								
chr14-828	chr14	69571856	69573420	+	69569798	NA	NA	NA	NA	NA								
chrX-393	chrX	69538280	69538974	+	69569634	NA	NA	NA	NA	NA								
chrX-394	chrX	69538280	69538974	+	69569634	NA	NA	NA	NA	NA								
chr15-858	chr15	69587125	69588123	+	69564723	NA	NA	NA	NA	NA								
chr15-855	chr15	69576685	69577569	+	69564723	NA	NA	NA	NA	NA								
chr15-853	chr15	69576685	69577569	+	69564723	NA	NA	NA	NA	NA								
chr15-863	chr15	69594309	69595246	+	69564723	NA	NA	NA	NA	NA								
chr15-854	chr15	69576685	69577569	+	69564723	NA	NA	NA	NA	NA								
chr15-859	chr15	69587125	69588123	+	69564723	NA	NA	NA	NA	NA								
chr15-851	chr15	69561256	69561772	+	69564723	NA	NA	NA	NA	NA								
chr15-860	chr15	69592016	69592237	+	69564723	NA	NA	NA	NA	NA								
chr15-852	chr15	69561256	69561772	+	69564723	NA	NA	NA	NA	NA								
chr15-856	chr15	69580990	69581462	+	69564723	NA	NA	NA	NA	NA								
chr15-850	chr15	69555768	69556020	+	69564723	NA	NA	NA	NA	NA								
chr15-861	chr15	69594309	69595246	+	69564723	NA	NA	NA	NA	NA								
chr15-857	chr15	69585319	69585485	+	69564723	NA	NA	NA	NA	NA								
chr15-862	chr15	69594309	69595246	+	69564723	NA	NA	NA	NA	NA								
chr15-849	chr15	69542204	69542512	+	69564723	NA	NA	NA	NA	NA								
chr14-824	chr14	69533571	69533764	+	69561018	NA	NA	NA	NA	NA								
chr10-804	chr10	69496671	69497568	+	69510165	NA	NA	NA	NA	NA								
chr10-805	chr10	69496671	69497568	+	69510165	NA	NA	NA	NA	NA								
chrX-392	chrX	69387226	69388036	+	69485342	NA	NA	NA	NA	NA								
chrX-390	chrX	69387226	69388036	+	69485342	NA	NA	NA	NA	NA								
chrX-389	chrX	69387226	69388036	+	69485342	NA	NA	NA	NA	NA								
chrX-391	chrX	69387226	69388036	+	69485342	NA	NA	NA	NA	NA								
chr14-822	chr14	69501219	69501731	+	69484691	NA	NA	NA	NA	NA								
chr14-821	chr14	69501219	69501731	+	69484691	NA	NA	NA	NA	NA								
chr14-823	chr14	69501827	69502369	+	69484691	NA	NA	NA	NA	NA								
chr14-820	chr14	69460189	69460630	+	69479056	NA	NA	NA	NA	NA								
chr17-1510	chr17	69521666	69523677	+	69477138	NA	NA	NA	NA	NA								
chr17-1501	chr17	69458872	69459166	+	69477138	NA	NA	NA	NA	NA								
chr17-1509	chr17	69521666	69523677	+	69477138	NA	NA	NA	NA	NA								
chr17-1511	chr17	69525405	69526288	+	69477138	NA	NA	NA	NA	NA								
chr17-1504	chr17	69500861	69501421	+	69477138	NA	NA	NA	NA	NA								
chr17-1508	chr17	69511397	69511793	+	69477138	NA	NA	NA	NA	NA								
chr17-1503	chr17	69500861	69501421	+	69477138	NA	NA	NA	NA	NA								
chr17-1506	chr17	69506520	69506873	+	69477138	NA	NA	NA	NA	NA								
chr17-1507	chr17	69511397	69511793	+	69477138	NA	NA	NA	NA	NA								
chr17-1502	chr17	69461694	69462457	+	69477138	NA	NA	NA	NA	NA								
chr17-1505	chr17	69502022	69502403	+	69477138	NA	NA	NA	NA	NA								
chr3-1398	chr3	69385626	69386548	+	69471451	NA	NA	NA	NA	NA								
chr3-1396	chr3	69330824	69331458	+	69471451	NA	NA	NA	NA	NA								
chr3-1397	chr3	69330824	69331458	+	69471451	NA	NA	NA	NA	NA								
chr3-1399	chr3	69385626	69386548	+	69471451	NA	NA	NA	NA	NA								
chr3-1400	chr3	69406124	69406732	+	69471451	NA	NA	NA	NA	NA								
chr12-1351	chr12	69514053	69514469	+	69470348	NA	NA	NA	NA	NA								
chr12-1350	chr12	69475265	69475687	+	69470348	NA	NA	NA	NA	NA								
chr15-848	chr15	69478261	69478578	+	69462920	NA	NA	NA	NA	NA								
chr15-847	chr15	69466029	69466267	+	69462920	NA	NA	NA	NA	NA								
chr2-1135	chr2	69483791	69484150	+	69457996	NA	NA	NA	NA	NA								
chr2-1134	chr2	69436628	69437551	+	69457996	NA	NA	NA	NA	NA								
chr10-803	chr10	69458858	69459180	+	69451464	NA	NA	NA	NA	NA								
chr12-1347	chr12	69435751	69437227	+	69449469	NA	NA	NA	NA	NA								
chr12-1349	chr12	69435751	69437227	+	69449469	NA	NA	NA	NA	NA								
chr12-1348	chr12	69435751	69437227	+	69449469	NA	NA	NA	NA	NA								
chr16-790	chr16	69435587	69436759	+	69443239	NA	NA	NA	NA	NA								
chr11-1274	chr11	69443050	69443830	+	69438364	NA	NA	NA	NA	NA								
chr17-1500	chr17	69424218	69424654	+	69433083	NA	NA	NA	NA	NA								
chr11-1271	chr11	69429853	69430630	+	69425677	NA	NA	NA	NA	NA								
chr11-1273	chr11	69429853	69430630	+	69425677	NA	NA	NA	NA	NA								
chr11-1272	chr11	69429853	69430630	+	69425677	NA	NA	NA	NA	NA								
chr17-1499	chr17	69407898	69408075	+	69414696	NA	NA	NA	NA	NA								
chr17-1498	chr17	69390867	69391839	+	69414696	NA	NA	NA	NA	NA								
chr17-1496	chr17	69390867	69391839	+	69414696	NA	NA	NA	NA	NA								
chr17-1497	chr17	69390867	69391839	+	69414696	NA	NA	NA	NA	NA								
chr15-846	chr15	69410307	69410842	+	69414245	NA	NA	NA	NA	NA								
chr7-766	chr7	69450401	69450982	+	69401201	NA	NA	NA	NA	NA								
chr7-765	chr7	69450401	69450982	+	69401201	NA	NA	NA	NA	NA								
chr16-788	chr16	69404466	69405586	+	69398401	NA	NA	NA	NA	NA								
chr16-785	chr16	69385313	69386585	+	69398401	NA	NA	NA	NA	NA								
chr16-789	chr16	69404466	69405586	+	69398401	NA	NA	NA	NA	NA								
chr16-786	chr16	69385313	69386585	+	69398401	NA	NA	NA	NA	NA								
chr16-787	chr16	69395943	69396373	+	69398401	NA	NA	NA	NA	NA								
chr2-1133	chr2	69387004	69388399	+	69396112	NA	NA	NA	NA	NA								
chr2-1132	chr2	69387004	69388399	+	69396112	NA	NA	NA	NA	NA								
chr14-818	chr14	69353929	69354499	+	69357009	NA	NA	NA	NA	NA								
chr14-816	chr14	69348680	69349320	+	69357009	NA	NA	NA	NA	NA								
chr14-817	chr14	69348680	69349320	+	69357009	NA	NA	NA	NA	NA								
chr14-819	chr14	69353929	69354499	+	69357009	NA	NA	NA	NA	NA								
chr17-1495	chr17	69363427	69364476	+	69355132	NA	NA	NA	NA	NA								
chr17-1494	chr17	69326158	69327779	+	69318732	NA	NA	NA	NA	NA								
chr17-1493	chr17	69326158	69327779	+	69318732	NA	NA	NA	NA	NA								
chr17-1492	chr17	69326158	69327779	+	69318732	NA	NA	NA	NA	NA								
chr11-1270	chr11	69353641	69353936	+	69303411	NA	NA	NA	NA	NA								
chr11-1269	chr11	69325626	69326049	+	69303411	NA	NA	NA	NA	NA								
chr10-800	chr10	69318211	69319172	+	69300431	NA	NA	NA	NA	NA								
chr10-801	chr10	69318211	69319172	+	69300431	NA	NA	NA	NA	NA								
chr10-802	chr10	69318211	69319172	+	69300431	NA	NA	NA	NA	NA								
chr12-1346	chr12	69259893	69260370	+	69273156	NA	NA	NA	NA	NA								
chr17-1491	chr17	69246683	69247134	+	69244310	NA	NA	NA	NA	NA								
chr17-1490	chr17	69246683	69247134	+	69244310	NA	NA	NA	NA	NA								
chr17-1488	chr17	69235249	69235698	+	69232962	NA	NA	NA	NA	NA								
chr17-1489	chr17	69235249	69235698	+	69232962	NA	NA	NA	NA	NA								
chr12-1335	chr12	69090827	69091551	+	69212107	NA	NA	NA	NA	NA								
chr12-1342	chr12	69173384	69174811	+	69212107	NA	NA	NA	NA	NA								
chr12-1332	chr12	69087793	69088483	+	69212107	NA	NA	NA	NA	NA								
chr12-1345	chr12	69197914	69198164	+	69212107	NA	NA	NA	NA	NA								
chr12-1337	chr12	69123604	69124191	+	69212107	NA	NA	NA	NA	NA								
chr12-1336	chr12	69123604	69124191	+	69212107	NA	NA	NA	NA	NA								
chr12-1343	chr12	69173384	69174811	+	69212107	NA	NA	NA	NA	NA								
chr12-1333	chr12	69087793	69088483	+	69212107	NA	NA	NA	NA	NA								
chr12-1341	chr12	69154485	69155174	+	69212107	NA	NA	NA	NA	NA								
chr12-1338	chr12	69152187	69152638	+	69212107	NA	NA	NA	NA	NA								
chr12-1334	chr12	69090827	69091551	+	69212107	NA	NA	NA	NA	NA								
chr12-1340	chr12	69154485	69155174	+	69212107	NA	NA	NA	NA	NA								
chr12-1339	chr12	69154485	69155174	+	69212107	NA	NA	NA	NA	NA								
chr12-1344	chr12	69196779	69197124	+	69212107	NA	NA	NA	NA	NA								
chr2-1128	chr2	69154284	69154841	+	69181896	NA	NA	NA	NA	NA								
chr2-1130	chr2	69160709	69161407	+	69181896	NA	NA	NA	NA	NA								
chr2-1131	chr2	69177563	69178689	+	69181896	NA	NA	NA	NA	NA								
chr2-1129	chr2	69154284	69154841	+	69181896	NA	NA	NA	NA	NA								
chrX-388	chrX	69295958	69296580	+	69179556	NA	NA	NA	NA	NA								
chrX-385	chrX	69237817	69238335	+	69179556	NA	NA	NA	NA	NA								
chrX-387	chrX	69286051	69286518	+	69179556	NA	NA	NA	NA	NA								
chrX-386	chrX	69286051	69286518	+	69179556	NA	NA	NA	NA	NA								
chrX-383	chrX	69222015	69222603	+	69179556	NA	NA	NA	NA	NA								
chrX-384	chrX	69222015	69222603	+	69179556	NA	NA	NA	NA	NA								
chr3-1393	chr3	69306387	69306862	+	69168781	NA	NA	NA	NA	NA								
chr3-1379	chr3	69142057	69142556	+	69168781	NA	NA	NA	NA	NA								
chr3-1384	chr3	69196896	69197852	+	69168781	NA	NA	NA	NA	NA								
chr3-1394	chr3	69306387	69306862	+	69168781	NA	NA	NA	NA	NA								
chr3-1383	chr3	69178042	69178278	+	69168781	NA	NA	NA	NA	NA								
chr3-1388	chr3	69200097	69201064	+	69168781	NA	NA	NA	NA	NA								
chr3-1385	chr3	69196896	69197852	+	69168781	NA	NA	NA	NA	NA								
chr3-1395	chr3	69309941	69310114	+	69168781	NA	NA	NA	NA	NA								
chr3-1392	chr3	69249935	69250316	+	69168781	NA	NA	NA	NA	NA								
chr3-1380	chr3	69158991	69159183	+	69168781	NA	NA	NA	NA	NA								
chr3-1387	chr3	69200097	69201064	+	69168781	NA	NA	NA	NA	NA								
chr3-1391	chr3	69248378	69249065	+	69168781	NA	NA	NA	NA	NA								
chr3-1381	chr3	69161657	69162582	+	69168781	NA	NA	NA	NA	NA								
chr3-1382	chr3	69172884	69173317	+	69168781	NA	NA	NA	NA	NA								
chr3-1386	chr3	69196896	69197852	+	69168781	NA	NA	NA	NA	NA								
chr3-1390	chr3	69238402	69239311	+	69168781	NA	NA	NA	NA	NA								
chr3-1389	chr3	69200097	69201064	+	69168781	NA	NA	NA	NA	NA								
chrX-377	chrX	69093989	69094221	+	69160850	NA	NA	NA	NA	NA								
chrX-381	chrX	69164967	69165629	+	69160850	NA	NA	NA	NA	NA								
chrX-382	chrX	69164967	69165629	+	69160850	NA	NA	NA	NA	NA								
chrX-380	chrX	69158224	69158752	+	69160850	NA	NA	NA	NA	NA								
chrX-379	chrX	69158224	69158752	+	69160850	NA	NA	NA	NA	NA								
chrX-378	chrX	69126457	69127189	+	69160850	NA	NA	NA	NA	NA								
chr15-844	chr15	69140252	69140845	+	69160583	NA	NA	NA	NA	NA								
chr15-843	chr15	69139702	69139961	+	69160583	NA	NA	NA	NA	NA								
chr15-845	chr15	69154046	69154533	+	69160583	NA	NA	NA	NA	NA								
chr15-842	chr15	69131398	69131712	+	69160583	NA	NA	NA	NA	NA								
chr17-1485	chr17	69141614	69142119	+	69147213	NA	NA	NA	NA	NA								
chr17-1484	chr17	69134183	69135200	+	69147213	NA	NA	NA	NA	NA								
chr17-1486	chr17	69142262	69142935	+	69147213	NA	NA	NA	NA	NA								
chr17-1487	chr17	69142262	69142935	+	69147213	NA	NA	NA	NA	NA								
chr17-1483	chr17	69134183	69135200	+	69147213	NA	NA	NA	NA	NA								
chr14-815	chr14	69118551	69118882	+	69143851	NA	NA	NA	NA	NA								
chr9-591	chr9	69173593	69174837	+	69121263	NA	NA	NA	NA	NA								
chr9-590	chr9	69173593	69174837	+	69121263	NA	NA	NA	NA	NA								
chr9-592	chr9	69180442	69181124	+	69121263	NA	NA	NA	NA	NA								
chr9-594	chr9	69189242	69190822	+	69121263	NA	NA	NA	NA	NA								
chr9-589	chr9	69173593	69174837	+	69121263	NA	NA	NA	NA	NA								
chr9-593	chr9	69186868	69187222	+	69121263	NA	NA	NA	NA	NA								
chr3-1376	chr3	69120498	69121415	+	69106064	NA	NA	NA	NA	NA								
chr3-1377	chr3	69120498	69121415	+	69106064	NA	NA	NA	NA	NA								
chr3-1378	chr3	69120498	69121415	+	69106064	NA	NA	NA	NA	NA								
chr2-1124	chr2	69100104	69101479	+	69103681	NA	NA	NA	NA	NA								
chr2-1119	chr2	69086995	69087394	+	69103681	NA	NA	NA	NA	NA								
chr2-1123	chr2	69100104	69101479	+	69103681	NA	NA	NA	NA	NA								
chr2-1117	chr2	69082539	69083100	+	69103681	NA	NA	NA	NA	NA								
chr2-1125	chr2	69113205	69113984	+	69103681	NA	NA	NA	NA	NA								
chr2-1116	chr2	69082539	69083100	+	69103681	NA	NA	NA	NA	NA								
chr2-1120	chr2	69092669	69092919	+	69103681	NA	NA	NA	NA	NA								
chr2-1127	chr2	69113205	69113984	+	69103681	NA	NA	NA	NA	NA								
chr2-1118	chr2	69083331	69083781	+	69103681	NA	NA	NA	NA	NA								
chr2-1121	chr2	69100104	69101479	+	69103681	NA	NA	NA	NA	NA								
chr2-1122	chr2	69100104	69101479	+	69103681	NA	NA	NA	NA	NA								
chr2-1126	chr2	69113205	69113984	+	69103681	NA	NA	NA	NA	NA								
chr11-1268	chr11	69106043	69106784	+	69103492	NA	NA	NA	NA	NA								
chr11-1267	chr11	69106043	69106784	+	69103492	NA	NA	NA	NA	NA								
chr10-799	chr10	69093404	69094022	+	69098495	NA	NA	NA	NA	NA								
chr3-1375	chr3	69080215	69080546	+	69084936	NA	NA	NA	NA	NA								
chr3-1374	chr3	69079746	69080085	+	69084936	NA	NA	NA	NA	NA								
chr14-814	chr14	69093870	69094578	+	69083397	NA	NA	NA	NA	NA								
chr11-1266	chr11	69088846	69088955	+	69083175	NA	NA	NA	NA	NA								
chr17-1482	chr17	69027496	69027943	+	69078701	NA	NA	NA	NA	NA								
chr17-1481	chr17	69027496	69027943	+	69078701	NA	NA	NA	NA	NA								
chr5-763	chr5	69042843	69043238	+	69068924	NA	NA	NA	NA	NA								
chr14-813	chr14	69040404	69040651	+	69050880	NA	NA	NA	NA	NA								
chr14-812	chr14	69038872	69039271	+	69050880	NA	NA	NA	NA	NA								
chr16-784	chr16	69064186	69065382	+	69033674	NA	NA	NA	NA	NA								
chr10-798	chr10	69029719	69030132	+	69022777	NA	NA	NA	NA	NA								
chr14-809	chr14	68967002	68967819	+	68979681	NA	NA	NA	NA	NA								
chr14-808	chr14	68967002	68967819	+	68979681	NA	NA	NA	NA	NA								
chr14-811	chr14	68987662	68988020	+	68979681	NA	NA	NA	NA	NA								
chr14-810	chr14	68967002	68967819	+	68979681	NA	NA	NA	NA	NA								
chr3-1373	chr3	68972433	68972691	+	68975216	NA	NA	NA	NA	NA								
chr5-762	chr5	69007861	69008143	+	68970691	NA	NA	NA	NA	NA								
chr12-1327	chr12	69007138	69008000	+	68957376	NA	NA	NA	NA	NA								
chr12-1328	chr12	69007138	69008000	+	68957376	NA	NA	NA	NA	NA								
chr12-1329	chr12	69007138	69008000	+	68957376	NA	NA	NA	NA	NA								
chr12-1330	chr12	69070374	69070841	+	68957376	NA	NA	NA	NA	NA								
chr12-1331	chr12	69070374	69070841	+	68957376	NA	NA	NA	NA	NA								
chr14-807	chr14	68951993	68952595	+	68936601	NA	NA	NA	NA	NA								
chr14-806	chr14	68951993	68952595	+	68936601	NA	NA	NA	NA	NA								
chr15-841	chr15	68924957	68925182	+	68930503	NA	NA	NA	NA	NA								
chr2-1115	chr2	68925321	68925867	+	68921247	NA	NA	NA	NA	NA								
chr2-1114	chr2	68925321	68925867	+	68921247	NA	NA	NA	NA	NA								
chr12-1326	chr12	68932741	68934006	+	68913803	NA	NA	NA	NA	NA								
chr12-1324	chr12	68932741	68934006	+	68913803	NA	NA	NA	NA	NA								
chr12-1325	chr12	68932741	68934006	+	68913803	NA	NA	NA	NA	NA								
chr12-1323	chr12	68884398	68884858	+	68911920	NA	NA	NA	NA	NA								
chr14-801	chr14	68890601	68891137	+	68887784	NA	NA	NA	NA	NA								
chr14-802	chr14	68892660	68893380	+	68887784	NA	NA	NA	NA	NA								
chr14-805	chr14	68911653	68912170	+	68887784	NA	NA	NA	NA	NA								
chr14-804	chr14	68911653	68912170	+	68887784	NA	NA	NA	NA	NA								
chr14-803	chr14	68910374	68911139	+	68887784	NA	NA	NA	NA	NA								
chr3-1372	chr3	68878398	68878638	+	68882966	NA	NA	NA	NA	NA								
chr5-760	chr5	68901274	68901906	+	68873953	NA	NA	NA	NA	NA								
chr5-761	chr5	68901274	68901906	+	68873953	NA	NA	NA	NA	NA								
chr11-1260	chr11	68838140	68838547	+	68870663	NA	NA	NA	NA	NA								
chr11-1264	chr11	68841575	68842116	+	68870663	NA	NA	NA	NA	NA								
chr11-1261	chr11	68839192	68839629	+	68870663	NA	NA	NA	NA	NA								
chr11-1263	chr11	68840703	68841082	+	68870663	NA	NA	NA	NA	NA								
chr11-1265	chr11	68842686	68843152	+	68870663	NA	NA	NA	NA	NA								
chr11-1262	chr11	68840114	68840301	+	68870663	NA	NA	NA	NA	NA								
chr18-780	chr18	68843798	68844027	+	68858933	NA	NA	NA	NA	NA								
chr12-1321	chr12	68870426	68871036	+	68842196	NA	NA	NA	NA	NA								
chr12-1322	chr12	68870426	68871036	+	68842196	NA	NA	NA	NA	NA								
chr6-1209	chr6	69232921	69233163	+	68840382	NA	NA	NA	NA	NA								
chrX-375	chrX	68894583	68895767	+	68829020	NA	NA	NA	NA	NA								
chrX-372	chrX	68848116	68848686	+	68829020	NA	NA	NA	NA	NA								
chrX-367	chrX	68834125	68834551	+	68829020	NA	NA	NA	NA	NA								
chrX-365	chrX	68824948	68825195	+	68829020	NA	NA	NA	NA	NA								
chrX-376	chrX	68894583	68895767	+	68829020	NA	NA	NA	NA	NA								
chrX-366	chrX	68834125	68834551	+	68829020	NA	NA	NA	NA	NA								
chrX-370	chrX	68848116	68848686	+	68829020	NA	NA	NA	NA	NA								
chrX-373	chrX	68894583	68895767	+	68829020	NA	NA	NA	NA	NA								
chrX-363	chrX	68822730	68823207	+	68829020	NA	NA	NA	NA	NA								
chrX-374	chrX	68894583	68895767	+	68829020	NA	NA	NA	NA	NA								
chrX-364	chrX	68822730	68823207	+	68829020	NA	NA	NA	NA	NA								
chrX-369	chrX	68846418	68846797	+	68829020	NA	NA	NA	NA	NA								
chrX-371	chrX	68848116	68848686	+	68829020	NA	NA	NA	NA	NA								
chrX-368	chrX	68843106	68843499	+	68829020	NA	NA	NA	NA	NA								
chr2-1110	chr2	68787610	68788075	+	68822854	NA	NA	NA	NA	NA								
chr2-1112	chr2	68817583	68818215	+	68822854	NA	NA	NA	NA	NA								
chr2-1108	chr2	68774566	68775239	+	68822854	NA	NA	NA	NA	NA								
chr2-1111	chr2	68817583	68818215	+	68822854	NA	NA	NA	NA	NA								
chr2-1106	chr2	68774566	68775239	+	68822854	NA	NA	NA	NA	NA								
chr2-1107	chr2	68774566	68775239	+	68822854	NA	NA	NA	NA	NA								
chr2-1109	chr2	68787610	68788075	+	68822854	NA	NA	NA	NA	NA								
chr2-1113	chr2	68817583	68818215	+	68822854	NA	NA	NA	NA	NA								
chr15-838	chr15	68815514	68815907	+	68818220	NA	NA	NA	NA	NA								
chr15-840	chr15	68820767	68821483	+	68818220	NA	NA	NA	NA	NA								
chr15-839	chr15	68815514	68815907	+	68818220	NA	NA	NA	NA	NA								
chr16-783	chr16	68800359	68800597	+	68814329	NA	NA	NA	NA	NA								
chr12-1320	chr12	68787227	68787467	+	68804872	NA	NA	NA	NA	NA								
chr15-837	chr15	68795273	68795776	+	68801849	NA	NA	NA	NA	NA								
chr14-796	chr14	68814364	68814839	+	68794738	NA	NA	NA	NA	NA								
chr14-797	chr14	68816045	68816291	+	68794738	NA	NA	NA	NA	NA								
chr14-799	chr14	68816395	68817376	+	68794738	NA	NA	NA	NA	NA								
chr14-800	chr14	68824914	68825153	+	68794738	NA	NA	NA	NA	NA								
chr14-793	chr14	68807024	68807740	+	68794738	NA	NA	NA	NA	NA								
