PeakID (cmd=annotatePeaks.pl classification/results/raw_results/human_promoters.bed /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/hg38.fa -gff3 /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/gencode.v47.annotation.gff3.gz)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chrX-469	chrX	57286428	57287364	+	57286705	NA	NA	NA	NA	NA								
chrX-470	chrX	57286428	57287364	+	57286705	NA	NA	NA	NA	NA								
chr19-2101	chr19	57279652	57280904	+	57280050	NA	NA	NA	NA	NA								
chr19-2102	chr19	57279652	57280904	+	57280050	NA	NA	NA	NA	NA								
chr17-1490	chr17	57278751	57279645	+	57277919	NA	NA	NA	NA	NA								
chr17-1491	chr17	57278751	57279645	+	57277919	NA	NA	NA	NA	NA								
chr17-1489	chr17	57278751	57279645	+	57277919	NA	NA	NA	NA	NA								
chr14-583	chr14	57268217	57269556	+	57268923	NA	NA	NA	NA	NA								
chr14-582	chr14	57268217	57269556	+	57268923	NA	NA	NA	NA	NA								
chr14-581	chr14	57268217	57269556	+	57268923	NA	NA	NA	NA	NA								
chr17-1488	chr17	57255755	57257019	+	57255850	NA	NA	NA	NA	NA								
chr17-1486	chr17	57255755	57257019	+	57255850	NA	NA	NA	NA	NA								
chr17-1487	chr17	57255755	57257019	+	57255850	NA	NA	NA	NA	NA								
chr16-1056	chr16	57244682	57245822	+	57245258	NA	NA	NA	NA	NA								
chr16-1059	chr16	57244682	57245822	+	57245258	NA	NA	NA	NA	NA								
chr16-1058	chr16	57244682	57245822	+	57245258	NA	NA	NA	NA	NA								
chr16-1057	chr16	57244682	57245822	+	57245258	NA	NA	NA	NA	NA								
chr12-1016	chr12	57243568	57243946	+	57243452	NA	NA	NA	NA	NA								
chr12-1014	chr12	57242450	57242981	+	57243452	NA	NA	NA	NA	NA								
chr12-1015	chr12	57242450	57242981	+	57243452	NA	NA	NA	NA	NA								
chr19-2098	chr19	57240108	57241155	+	57240631	NA	NA	NA	NA	NA								
chr19-2099	chr19	57240108	57241155	+	57240631	NA	NA	NA	NA	NA								
chr19-2100	chr19	57240108	57241155	+	57240631	NA	NA	NA	NA	NA								
chr12-1013	chr12	57235001	57235529	+	57234902	NA	NA	NA	NA	NA								
chr12-1009	chr12	57229519	57230987	+	57229572	NA	NA	NA	NA	NA								
chr12-1011	chr12	57229519	57230987	+	57229572	NA	NA	NA	NA	NA								
chr12-1010	chr12	57229519	57230987	+	57229572	NA	NA	NA	NA	NA								
chr12-1012	chr12	57229519	57230987	+	57229572	NA	NA	NA	NA	NA								
chr3-795	chr3	57227147	57228241	+	57227725	NA	NA	NA	NA	NA								
chr3-797	chr3	57228381	57228695	+	57227725	NA	NA	NA	NA	NA								
chr3-796	chr3	57227147	57228241	+	57227725	NA	NA	NA	NA	NA								
chr3-794	chr3	57227147	57228241	+	57227725	NA	NA	NA	NA	NA								
chr19-2097	chr19	57191074	57192013	+	57191499	NA	NA	NA	NA	NA								
chr19-2096	chr19	57191074	57192013	+	57191499	NA	NA	NA	NA	NA								
chr16-1055	chr16	57185580	57186647	+	57186136	NA	NA	NA	NA	NA								
chr16-1054	chr16	57185580	57186647	+	57186136	NA	NA	NA	NA	NA								
chr5-473	chr5	57173164	57174661	+	57173947	NA	NA	NA	NA	NA								
chr5-471	chr5	57173164	57174661	+	57173947	NA	NA	NA	NA	NA								
chr5-472	chr5	57173164	57174661	+	57173947	NA	NA	NA	NA	NA								
chr5-474	chr5	57173164	57174661	+	57173947	NA	NA	NA	NA	NA								
chr6-1281	chr6	57171951	57173483	+	57172325	NA	NA	NA	NA	NA								
chr6-1282	chr6	57171951	57173483	+	57172325	NA	NA	NA	NA	NA								
chr6-1284	chr6	57171951	57173483	+	57172325	NA	NA	NA	NA	NA								
chr6-1283	chr6	57171951	57173483	+	57172325	NA	NA	NA	NA	NA								
chr16-1053	chr16	57139930	57140324	+	57140895	NA	NA	NA	NA	NA								
chr12-1006	chr12	57127282	57127552	+	57128482	NA	NA	NA	NA	NA								
chr12-1008	chr12	57127653	57128679	+	57128482	NA	NA	NA	NA	NA								
chr12-1007	chr12	57127653	57128679	+	57128482	NA	NA	NA	NA	NA								
chrX-468	chrX	57121136	57121949	+	57121571	NA	NA	NA	NA	NA								
chrX-467	chrX	57121136	57121949	+	57121571	NA	NA	NA	NA	NA								
chr4-541	chr4	57109772	57111449	+	57110546	NA	NA	NA	NA	NA								
chr4-543	chr4	57109772	57111449	+	57110546	NA	NA	NA	NA	NA								
chr4-540	chr4	57109772	57111449	+	57110546	NA	NA	NA	NA	NA								
chr4-542	chr4	57109772	57111449	+	57110546	NA	NA	NA	NA	NA								
chr16-1049	chr16	57092053	57093365	+	57092582	NA	NA	NA	NA	NA								
chr16-1050	chr16	57092053	57093365	+	57092582	NA	NA	NA	NA	NA								
chr16-1052	chr16	57092053	57093365	+	57092582	NA	NA	NA	NA	NA								
chr16-1051	chr16	57092053	57093365	+	57092582	NA	NA	NA	NA	NA								
chr12-1005	chr12	57087700	57089347	+	57089042	NA	NA	NA	NA	NA								
chr12-1003	chr12	57087700	57089347	+	57089042	NA	NA	NA	NA	NA								
chr12-1002	chr12	57087113	57087484	+	57089042	NA	NA	NA	NA	NA								
chr12-1004	chr12	57087700	57089347	+	57089042	NA	NA	NA	NA	NA								
chr17-1484	chr17	57084699	57086032	+	57085091	NA	NA	NA	NA	NA								
chr17-1485	chr17	57084699	57086032	+	57085091	NA	NA	NA	NA	NA								
chr17-1483	chr17	57084699	57086032	+	57085091	NA	NA	NA	NA	NA								
chr14-580	chr14	57066581	57067255	+	57066259	NA	NA	NA	NA	NA								
chr14-579	chr14	57066581	57067255	+	57066259	NA	NA	NA	NA	NA								
chr3-792	chr3	57060181	57060797	+	57060663	NA	NA	NA	NA	NA								
chr3-793	chr3	57060181	57060797	+	57060663	NA	NA	NA	NA	NA								
chr18-532	chr18	57052784	57053300	+	57054557	NA	NA	NA	NA	NA								
chr6-1280	chr6	57046319	57046982	+	57046531	NA	NA	NA	NA	NA								
chr18-531	chr18	57027088	57027850	+	57027831	NA	NA	NA	NA	NA								
chr16-1048	chr16	57014542	57015141	+	57013070	NA	NA	NA	NA	NA								
chr12-1001	chr12	56996710	56997452	+	56998835	NA	NA	NA	NA	NA								
chr1-1332	chr1	56995480	56996142	+	56994777	NA	NA	NA	NA	NA								
chr16-1046	chr16	56989128	56989995	+	56989484	NA	NA	NA	NA	NA								
chr16-1047	chr16	56989128	56989995	+	56989484	NA	NA	NA	NA	NA								
chr12-1000	chr12	56987461	56987993	+	56987733	NA	NA	NA	NA	NA								
chr17-1481	chr17	56977693	56978625	+	56978128	NA	NA	NA	NA	NA								
chr17-1482	chr17	56977693	56978625	+	56978128	NA	NA	NA	NA	NA								
chr17-1480	chr17	56977693	56978625	+	56978128	NA	NA	NA	NA	NA								
chr4-535	chr4	56976854	56978325	+	56977721	NA	NA	NA	NA	NA								
chr4-537	chr4	56976854	56978325	+	56977721	NA	NA	NA	NA	NA								
chr4-534	chr4	56976854	56978325	+	56977721	NA	NA	NA	NA	NA								
chr4-536	chr4	56976854	56978325	+	56977721	NA	NA	NA	NA	NA								
chr4-539	chr4	56978640	56979233	+	56977721	NA	NA	NA	NA	NA								
chr4-538	chr4	56978640	56979233	+	56977721	NA	NA	NA	NA	NA								
chr1-1331	chr1	56965757	56966334	+	56963885	NA	NA	NA	NA	NA								
chr1-1330	chr1	56965757	56966334	+	56963885	NA	NA	NA	NA	NA								
chr1-1329	chr1	56963640	56964158	+	56963885	NA	NA	NA	NA	NA								
chr6-1278	chr6	56954528	56955711	+	56955106	NA	NA	NA	NA	NA								
chr6-1279	chr6	56954528	56955711	+	56955106	NA	NA	NA	NA	NA								
chr6-1277	chr6	56954528	56955711	+	56955106	NA	NA	NA	NA	NA								
chr12-999	chr12	56941619	56942485	+	56941173	NA	NA	NA	NA	NA								
chr12-998	chr12	56941619	56942485	+	56941173	NA	NA	NA	NA	NA								
chr17-1479	chr17	56939877	56940307	+	56939931	NA	NA	NA	NA	NA								
chr16-1042	chr16	56931611	56932615	+	56932141	NA	NA	NA	NA	NA								
chr16-1043	chr16	56931611	56932615	+	56932141	NA	NA	NA	NA	NA								
chr16-1045	chr16	56932704	56933290	+	56932141	NA	NA	NA	NA	NA								
chr16-1044	chr16	56932704	56933290	+	56932141	NA	NA	NA	NA	NA								
chr5-469	chr5	56917477	56918473	+	56919601	NA	NA	NA	NA	NA								
chr5-470	chr5	56917477	56918473	+	56919601	NA	NA	NA	NA	NA								
chr15-464	chr15	56917834	56919905	+	56918622	NA	NA	NA	NA	NA								
chr15-463	chr15	56917834	56919905	+	56918622	NA	NA	NA	NA	NA								
chr15-465	chr15	56917834	56919905	+	56918622	NA	NA	NA	NA	NA								
chr15-462	chr15	56917834	56919905	+	56918622	NA	NA	NA	NA	NA								
chr17-1477	chr17	56913581	56914664	+	56914167	NA	NA	NA	NA	NA								
chr17-1474	chr17	56912270	56912815	+	56914167	NA	NA	NA	NA	NA								
chr17-1475	chr17	56912270	56912815	+	56914167	NA	NA	NA	NA	NA								
chr17-1478	chr17	56913581	56914664	+	56914167	NA	NA	NA	NA	NA								
chr17-1476	chr17	56913581	56914664	+	56914167	NA	NA	NA	NA	NA								
chr5-468	chr5	56909134	56910598	+	56909259	NA	NA	NA	NA	NA								
chr5-466	chr5	56909134	56910598	+	56909259	NA	NA	NA	NA	NA								
chr5-467	chr5	56909134	56910598	+	56909259	NA	NA	NA	NA	NA								
chr5-465	chr5	56909134	56910598	+	56909259	NA	NA	NA	NA	NA								
chr4-529	chr4	56907511	56909607	+	56907875	NA	NA	NA	NA	NA								
chr4-532	chr4	56907511	56909607	+	56907875	NA	NA	NA	NA	NA								
chr4-530	chr4	56907511	56909607	+	56907875	NA	NA	NA	NA	NA								
chr4-531	chr4	56907511	56909607	+	56907875	NA	NA	NA	NA	NA								
chr4-533	chr4	56907511	56909607	+	56907875	NA	NA	NA	NA	NA								
chr5-464	chr5	56900779	56901415	+	56900040	NA	NA	NA	NA	NA								
chr15-460	chr15	56886779	56887889	+	56887106	NA	NA	NA	NA	NA								
chr15-461	chr15	56886779	56887889	+	56887106	NA	NA	NA	NA	NA								
chr16-1041	chr16	56856924	56857229	+	56858517	NA	NA	NA	NA	NA								
chr1-1328	chr1	56854359	56855207	+	56854767	NA	NA	NA	NA	NA								
chr6-1274	chr6	56842967	56844461	+	56843927	NA	NA	NA	NA	NA								
chr6-1275	chr6	56842967	56844461	+	56843927	NA	NA	NA	NA	NA								
chr6-1276	chr6	56842967	56844461	+	56843927	NA	NA	NA	NA	NA								
chr12-997	chr12	56839537	56840276	+	56840972	NA	NA	NA	NA	NA								
chr12-996	chr12	56839537	56840276	+	56840972	NA	NA	NA	NA	NA								
chr19-2094	chr19	56838734	56840085	+	56840865	NA	NA	NA	NA	NA								
chr19-2093	chr19	56838734	56840085	+	56840865	NA	NA	NA	NA	NA								
chr19-2095	chr19	56838734	56840085	+	56840865	NA	NA	NA	NA	NA								
chr17-1471	chr17	56833078	56835049	+	56834106	NA	NA	NA	NA	NA								
chr17-1470	chr17	56833078	56835049	+	56834106	NA	NA	NA	NA	NA								
chr17-1473	chr17	56833078	56835049	+	56834106	NA	NA	NA	NA	NA								
chr17-1472	chr17	56833078	56835049	+	56834106	NA	NA	NA	NA	NA								
chr17-1469	chr17	56833078	56835049	+	56834106	NA	NA	NA	NA	NA								
chr5-461	chr5	56814853	56817094	+	56815548	NA	NA	NA	NA	NA								
chr5-463	chr5	56814853	56817094	+	56815548	NA	NA	NA	NA	NA								
chr5-460	chr5	56814853	56817094	+	56815548	NA	NA	NA	NA	NA								
chr5-458	chr5	56814853	56817094	+	56815548	NA	NA	NA	NA	NA								
chr5-462	chr5	56814853	56817094	+	56815548	NA	NA	NA	NA	NA								
chr5-459	chr5	56814853	56817094	+	56815548	NA	NA	NA	NA	NA								
chr5-457	chr5	56814853	56817094	+	56815548	NA	NA	NA	NA	NA								
chr12-993	chr12	56751752	56752606	+	56752160	NA	NA	NA	NA	NA								
chr12-994	chr12	56751752	56752606	+	56752160	NA	NA	NA	NA	NA								
chr12-995	chr12	56751752	56752606	+	56752160	NA	NA	NA	NA	NA								
chr2-682	chr2	56749180	56749691	+	56750299	NA	NA	NA	NA	NA								
chr16-1039	chr16	56729351	56730668	+	56730117	NA	NA	NA	NA	NA								
chr16-1040	chr16	56729351	56730668	+	56730117	NA	NA	NA	NA	NA								
chrX-464	chrX	56728831	56729585	+	56729240	NA	NA	NA	NA	NA								
chrX-466	chrX	56728831	56729585	+	56729240	NA	NA	NA	NA	NA								
chrX-465	chrX	56728831	56729585	+	56729240	NA	NA	NA	NA	NA								
chr3-791	chr3	56725245	56725732	+	56727417	NA	NA	NA	NA	NA								
chr16-1036	chr16	56681875	56682881	+	56682469	NA	NA	NA	NA	NA								
chr16-1038	chr16	56681875	56682881	+	56682469	NA	NA	NA	NA	NA								
chr16-1037	chr16	56681875	56682881	+	56682469	NA	NA	NA	NA	NA								
chr19-2091	chr19	56671166	56672176	+	56669940	NA	NA	NA	NA	NA								
chr19-2092	chr19	56671166	56672176	+	56669940	NA	NA	NA	NA	NA								
chr16-1035	chr16	56669355	56669902	+	56669813	NA	NA	NA	NA	NA								
chr16-1034	chr16	56667581	56668640	+	56666729	NA	NA	NA	NA	NA								
chr16-1032	chr16	56657338	56658629	+	56657730	NA	NA	NA	NA	NA								
chr16-1033	chr16	56657338	56658629	+	56657730	NA	NA	NA	NA	NA								
chr16-1031	chr16	56657338	56658629	+	56657730	NA	NA	NA	NA	NA								
chr15-457	chr15	56653754	56654509	+	56652487	NA	NA	NA	NA	NA								
chr15-459	chr15	56653754	56654509	+	56652487	NA	NA	NA	NA	NA								
chr15-458	chr15	56653754	56654509	+	56652487	NA	NA	NA	NA	NA								
chr18-529	chr18	56650899	56651829	+	56651342	NA	NA	NA	NA	NA								
chr18-530	chr18	56650899	56651829	+	56651342	NA	NA	NA	NA	NA								
chr14-578	chr14	56649811	56650437	+	56648964	NA	NA	NA	NA	NA								
chr16-1029	chr16	56647560	56648238	+	56648247	NA	NA	NA	NA	NA								
chr16-1030	chr16	56647560	56648238	+	56648247	NA	NA	NA	NA	NA								
chr1-1325	chr1	56644714	56645955	+	56645313	NA	NA	NA	NA	NA								
chr1-1327	chr1	56644714	56645955	+	56645313	NA	NA	NA	NA	NA								
chr1-1326	chr1	56644714	56645955	+	56645313	NA	NA	NA	NA	NA								
chr12-992	chr12	56645717	56646484	+	56645026	NA	NA	NA	NA	NA								
chr16-1028	chr16	56643082	56643806	+	56643609	NA	NA	NA	NA	NA								
chr16-1027	chr16	56643082	56643806	+	56643609	NA	NA	NA	NA	NA								
chr16-1026	chr16	56638045	56638790	+	56638665	NA	NA	NA	NA	NA								
chr16-1025	chr16	56638045	56638790	+	56638665	NA	NA	NA	NA	NA								
chr12-989	chr12	56636007	56637293	+	56638174	NA	NA	NA	NA	NA								
chr12-990	chr12	56636007	56637293	+	56638174	NA	NA	NA	NA	NA								
chr12-988	chr12	56636007	56637293	+	56638174	NA	NA	NA	NA	NA								
chr12-991	chr12	56636007	56637293	+	56638174	NA	NA	NA	NA	NA								
chr16-1024	chr16	56632048	56632763	+	56632658	NA	NA	NA	NA	NA								
chr16-1023	chr16	56632048	56632763	+	56632658	NA	NA	NA	NA	NA								
chr15-456	chr15	56629017	56629657	+	56630175	NA	NA	NA	NA	NA								
chr16-1018	chr16	56625022	56626363	+	56625474	NA	NA	NA	NA	NA								
chr16-1019	chr16	56625022	56626363	+	56625474	NA	NA	NA	NA	NA								
chr16-1017	chr16	56625022	56626363	+	56625474	NA	NA	NA	NA	NA								
chr16-1021	chr16	56627169	56627745	+	56625474	NA	NA	NA	NA	NA								
chr16-1022	chr16	56627169	56627745	+	56625474	NA	NA	NA	NA	NA								
chr16-1020	chr16	56625022	56626363	+	56625474	NA	NA	NA	NA	NA								
chr16-1016	chr16	56616927	56618117	+	56617422	NA	NA	NA	NA	NA								
chr16-1014	chr16	56616927	56618117	+	56617422	NA	NA	NA	NA	NA								
chr16-1015	chr16	56616927	56618117	+	56617422	NA	NA	NA	NA	NA								
chr16-1013	chr16	56611443	56611976	+	56609500	NA	NA	NA	NA	NA								
chr16-1009	chr16	56606583	56607625	+	56608583	NA	NA	NA	NA	NA								
chr16-1008	chr16	56606583	56607625	+	56608583	NA	NA	NA	NA	NA								
chr16-1011	chr16	56606583	56607625	+	56608583	NA	NA	NA	NA	NA								
chr16-1010	chr16	56606583	56607625	+	56608583	NA	NA	NA	NA	NA								
chr16-1012	chr16	56608098	56608737	+	56608583	NA	NA	NA	NA	NA								
chr12-987	chr12	56593874	56594397	+	56595595	NA	NA	NA	NA	NA								
chr12-986	chr12	56593874	56594397	+	56595595	NA	NA	NA	NA	NA								
chr19-2090	chr19	56594788	56595720	+	56595312	NA	NA	NA	NA	NA								
chr19-2088	chr19	56594788	56595720	+	56595312	NA	NA	NA	NA	NA								
chr19-2089	chr19	56594788	56595720	+	56595299	NA	NA	NA	NA	NA								
chr19-2087	chr19	56594788	56595720	+	56595299	NA	NA	NA	NA	NA								
chr17-1468	chr17	56592516	56592970	+	56593698	NA	NA	NA	NA	NA								
chr1-1324	chr1	56584989	56585245	+	56585611	NA	NA	NA	NA	NA								
chr18-527	chr18	56570837	56571334	+	56573129	NA	NA	NA	NA	NA								
chr18-528	chr18	56574811	56575201	+	56573129	NA	NA	NA	NA	NA								
chr19-2086	chr19	56566927	56568051	+	56567467	NA	NA	NA	NA	NA								
chr19-2085	chr19	56566927	56568051	+	56567467	NA	NA	NA	NA	NA								
chr19-2084	chr19	56566927	56568051	+	56567467	NA	NA	NA	NA	NA								
chrX-462	chrX	56563118	56564927	+	56563626	NA	NA	NA	NA	NA								
chrX-461	chrX	56563118	56564927	+	56563626	NA	NA	NA	NA	NA								
chrX-463	chrX	56563118	56564927	+	56563626	NA	NA	NA	NA	NA								
chr3-790	chr3	56556808	56557832	+	56557160	NA	NA	NA	NA	NA								
chr3-789	chr3	56556808	56557832	+	56557160	NA	NA	NA	NA	NA								
chr3-788	chr3	56556808	56557832	+	56557160	NA	NA	NA	NA	NA								
chr20-799	chr20	56550669	56551050	+	56550604	NA	NA	NA	NA	NA								
chr19-2083	chr19	56538212	56539372	+	56538947	NA	NA	NA	NA	NA								
chr19-2082	chr19	56538212	56539372	+	56538947	NA	NA	NA	NA	NA								
chr19-2081	chr19	56538212	56539372	+	56538947	NA	NA	NA	NA	NA								
chr4-528	chr4	56530233	56531044	+	56530605	NA	NA	NA	NA	NA								
chr4-527	chr4	56530233	56531044	+	56530605	NA	NA	NA	NA	NA								
chr12-985	chr12	56521685	56521942	+	56521819	NA	NA	NA	NA	NA								
chr19-2079	chr19	56507414	56508394	+	56507849	NA	NA	NA	NA	NA								
chr19-2080	chr19	56507414	56508394	+	56507849	NA	NA	NA	NA	NA								
chr19-2078	chr19	56507414	56508394	+	56507849	NA	NA	NA	NA	NA								
chr4-526	chr4	56505061	56505934	+	56505208	NA	NA	NA	NA	NA								
chr1-1320	chr1	56496113	56497387	+	56494760	NA	NA	NA	NA	NA								
chr1-1323	chr1	56496113	56497387	+	56494760	NA	NA	NA	NA	NA								
chr1-1321	chr1	56496113	56497387	+	56494760	NA	NA	NA	NA	NA								
chr1-1322	chr1	56496113	56497387	+	56494760	NA	NA	NA	NA	NA								
chr19-2075	chr19	56477246	56478347	+	56477249	NA	NA	NA	NA	NA								
chr19-2077	chr19	56477246	56478347	+	56477249	NA	NA	NA	NA	NA								
chr19-2076	chr19	56477246	56478347	+	56477249	NA	NA	NA	NA	NA								
chr20-798	chr20	56468056	56468916	+	56468584	NA	NA	NA	NA	NA								
chr12-984	chr12	56467943	56469880	+	56468577	NA	NA	NA	NA	NA								
chr12-983	chr12	56467943	56469880	+	56468577	NA	NA	NA	NA	NA								
chr12-980	chr12	56467943	56469880	+	56468577	NA	NA	NA	NA	NA								
chr12-981	chr12	56467943	56469880	+	56468577	NA	NA	NA	NA	NA								
chr12-982	chr12	56467943	56469880	+	56468577	NA	NA	NA	NA	NA								
chr4-523	chr4	56467239	56468326	+	56467616	NA	NA	NA	NA	NA								
chr4-524	chr4	56467239	56468326	+	56467616	NA	NA	NA	NA	NA								
chr4-522	chr4	56467239	56468326	+	56467616	NA	NA	NA	NA	NA								
chr4-525	chr4	56467239	56468326	+	56467616	NA	NA	NA	NA	NA								
chr16-1006	chr16	56450912	56451974	+	56451520	NA	NA	NA	NA	NA								
chr16-1005	chr16	56450912	56451974	+	56451520	NA	NA	NA	NA	NA								
chr16-1004	chr16	56450912	56451974	+	56451520	NA	NA	NA	NA	NA								
chr16-1007	chr16	56452149	56452414	+	56451520	NA	NA	NA	NA	NA								
chr12-975	chr12	56448824	56449714	+	56449699	NA	NA	NA	NA	NA								
chr12-977	chr12	56448824	56449714	+	56449699	NA	NA	NA	NA	NA								
chr12-979	chr12	56448824	56449714	+	56449699	NA	NA	NA	NA	NA								
chr12-974	chr12	56448824	56449714	+	56449501	NA	NA	NA	NA	NA								
chr12-978	chr12	56448824	56449714	+	56449501	NA	NA	NA	NA	NA								
chr12-976	chr12	56448824	56449714	+	56449501	NA	NA	NA	NA	NA								
chr4-521	chr4	56435218	56436819	+	56435740	NA	NA	NA	NA	NA								
chr4-519	chr4	56435218	56436819	+	56435740	NA	NA	NA	NA	NA								
chr4-518	chr4	56435218	56436819	+	56435740	NA	NA	NA	NA	NA								
chr4-520	chr4	56435218	56436819	+	56435740	NA	NA	NA	NA	NA								
chr1-1319	chr1	56414602	56415205	+	56414917	NA	NA	NA	NA	NA								
chr20-797	chr20	56411692	56412552	+	56412111	NA	NA	NA	NA	NA								
chr20-796	chr20	56411692	56412552	+	56412111	NA	NA	NA	NA	NA								
chr4-517	chr4	56410267	56410760	+	56410515	NA	NA	NA	NA	NA								
chr16-1002	chr16	56408375	56409596	+	56409319	NA	NA	NA	NA	NA								
chr16-1003	chr16	56408375	56409596	+	56409319	NA	NA	NA	NA	NA								
chr16-1001	chr16	56408375	56409596	+	56409319	NA	NA	NA	NA	NA								
chr19-2073	chr19	56393163	56393943	+	56393655	NA	NA	NA	NA	NA								
chr19-2074	chr19	56393163	56393943	+	56393655	NA	NA	NA	NA	NA								
chr20-795	chr20	56391934	56392986	+	56392370	NA	NA	NA	NA	NA								
chr20-794	chr20	56391934	56392986	+	56392370	NA	NA	NA	NA	NA								
chr4-514	chr4	56386889	56388101	+	56387624	NA	NA	NA	NA	NA								
chr4-516	chr4	56386889	56388101	+	56387624	NA	NA	NA	NA	NA								
chr4-515	chr4	56386889	56388101	+	56387624	NA	NA	NA	NA	NA								
chr19-2072	chr19	56367729	56368714	+	56368098	NA	NA	NA	NA	NA								
chr19-2070	chr19	56367729	56368714	+	56368098	NA	NA	NA	NA	NA								
chr19-2071	chr19	56367729	56368714	+	56368098	NA	NA	NA	NA	NA								
chr10-592	chr10	56360894	56362017	+	56361478	NA	NA	NA	NA	NA								
chr10-594	chr10	56360894	56362017	+	56361478	NA	NA	NA	NA	NA								
chr10-593	chr10	56360894	56362017	+	56361478	NA	NA	NA	NA	NA								
chr12-973	chr12	56359861	56360898	+	56360567	NA	NA	NA	NA	NA								
chr12-972	chr12	56359861	56360898	+	56360567	NA	NA	NA	NA	NA								
chr20-793	chr20	56358590	56359637	+	56358973	NA	NA	NA	NA	NA								
chr20-792	chr20	56358590	56359637	+	56358973	NA	NA	NA	NA	NA								
chr12-970	chr12	56333343	56334569	+	56334173	NA	NA	NA	NA	NA								
chr12-969	chr12	56333343	56334569	+	56334173	NA	NA	NA	NA	NA								
chr12-971	chr12	56333343	56334569	+	56334173	NA	NA	NA	NA	NA								
chr12-968	chr12	56333343	56334569	+	56334173	NA	NA	NA	NA	NA								
chr12-966	chr12	56315620	56316701	+	56316222	NA	NA	NA	NA	NA								
chr12-967	chr12	56315620	56316701	+	56316222	NA	NA	NA	NA	NA								
chr19-2067	chr19	56314085	56315646	+	56314702	NA	NA	NA	NA	NA								
chr19-2065	chr19	56314085	56315646	+	56314702	NA	NA	NA	NA	NA								
chr19-2068	chr19	56314085	56315646	+	56314702	NA	NA	NA	NA	NA								
chr19-2066	chr19	56314085	56315646	+	56314702	NA	NA	NA	NA	NA								
chr19-2069	chr19	56314085	56315646	+	56314702	NA	NA	NA	NA	NA								
chr12-963	chr12	56299743	56300904	+	56300074	NA	NA	NA	NA	NA								
chr12-964	chr12	56299743	56300904	+	56300074	NA	NA	NA	NA	NA								
chr12-965	chr12	56299743	56300904	+	56300074	NA	NA	NA	NA	NA								
chr7-618	chr7	56287512	56288247	+	56288229	NA	NA	NA	NA	NA								
chr7-617	chr7	56287512	56288247	+	56288229	NA	NA	NA	NA	NA								
chr12-962	chr12	56266647	56267723	+	56266889	NA	NA	NA	NA	NA								
chr12-961	chr12	56266647	56267723	+	56266889	NA	NA	NA	NA	NA								
chr12-960	chr12	56266647	56267723	+	56266889	NA	NA	NA	NA	NA								
chr20-791	chr20	56248034	56248269	+	56248731	NA	NA	NA	NA	NA								
chr16-999	chr16	56245984	56246865	+	56245519	NA	NA	NA	NA	NA								
chr16-1000	chr16	56245984	56246865	+	56245519	NA	NA	NA	NA	NA								
chr15-455	chr15	56245908	56246377	+	56243970	NA	NA	NA	NA	NA								
chr15-453	chr15	56244339	56245356	+	56243970	NA	NA	NA	NA	NA								
chr15-450	chr15	56243217	56244160	+	56243970	NA	NA	NA	NA	NA								
chr15-454	chr15	56244339	56245356	+	56243970	NA	NA	NA	NA	NA								
chr15-451	chr15	56243217	56244160	+	56243970	NA	NA	NA	NA	NA								
chr15-452	chr15	56244339	56245356	+	56243970	NA	NA	NA	NA	NA								
chrX-460	chrX	56233790	56234057	+	56232355	NA	NA	NA	NA	NA								
chrX-458	chrX	56232042	56233005	+	56232355	NA	NA	NA	NA	NA								
chrX-459	chrX	56232042	56233005	+	56232355	NA	NA	NA	NA	NA								
chr12-955	chr12	56229939	56231146	+	56230048	NA	NA	NA	NA	NA								
chr12-958	chr12	56229939	56231146	+	56230048	NA	NA	NA	NA	NA								
chr12-956	chr12	56229939	56231146	+	56230048	NA	NA	NA	NA	NA								
chr12-959	chr12	56229939	56231146	+	56230048	NA	NA	NA	NA	NA								
chr12-957	chr12	56229939	56231146	+	56230048	NA	NA	NA	NA	NA								
chr12-954	chr12	56221649	56222468	+	56222014	NA	NA	NA	NA	NA								
chr12-953	chr12	56221649	56222468	+	56222014	NA	NA	NA	NA	NA								
chr8-633	chr8	56211187	56212446	+	56211685	NA	NA	NA	NA	NA								
chr8-632	chr8	56211187	56212446	+	56211685	NA	NA	NA	NA	NA								
chr16-998	chr16	56194251	56194745	+	56192613	NA	NA	NA	NA	NA								
chr16-997	chr16	56190870	56191807	+	56191389	NA	NA	NA	NA	NA								
chr2-680	chr2	56183595	56185105	+	56183989	NA	NA	NA	NA	NA								
chr2-679	chr2	56183595	56185105	+	56183989	NA	NA	NA	NA	NA								
chr2-681	chr2	56185700	56185977	+	56183989	NA	NA	NA	NA	NA								
chr2-678	chr2	56183595	56185105	+	56183989	NA	NA	NA	NA	NA								
chr12-951	chr12	56157649	56158820	+	56158345	NA	NA	NA	NA	NA								
chr12-949	chr12	56157649	56158820	+	56158345	NA	NA	NA	NA	NA								
chr12-952	chr12	56159064	56159427	+	56158345	NA	NA	NA	NA	NA								
chr12-950	chr12	56157649	56158820	+	56158345	NA	NA	NA	NA	NA								
chr12-946	chr12	56151710	56152723	+	56152255	NA	NA	NA	NA	NA								
