PeakID (cmd=annotatePeaks.pl classification/results/raw_results/human_mapped_from_mouse_promoters.bed /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/hg38.fa -gff3 /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/gencode.v47.annotation.gff3.gz)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr5-404	chr5	77086141	77087776	+	77086687	NA	NA	NA	NA	NA								
chr5-402	chr5	77086141	77087776	+	77086687	NA	NA	NA	NA	NA								
chr5-395	chr5	77085353	77085831	+	77086687	NA	NA	NA	NA	NA								
chr5-398	chr5	77086141	77087776	+	77086687	NA	NA	NA	NA	NA								
chr5-394	chr5	77085353	77085831	+	77086687	NA	NA	NA	NA	NA								
chr5-406	chr5	77086141	77087776	+	77086687	NA	NA	NA	NA	NA								
chr5-400	chr5	77086141	77087776	+	77086687	NA	NA	NA	NA	NA								
chr4-382	chr4	77074654	77075836	+	77076048	NA	NA	NA	NA	NA								
chr4-384	chr4	77074654	77075836	+	77076048	NA	NA	NA	NA	NA								
chr4-385	chr4	77075907	77076655	+	77076048	NA	NA	NA	NA	NA								
chr4-381	chr4	77074654	77075836	+	77076048	NA	NA	NA	NA	NA								
chr4-383	chr4	77074654	77075836	+	77076048	NA	NA	NA	NA	NA								
chr14-715	chr14	77070208	77071485	+	77069168	NA	NA	NA	NA	NA								
chr14-716	chr14	77070208	77071485	+	77069168	NA	NA	NA	NA	NA								
chr1-1180	chr1	77068071	77068518	+	77067919	NA	NA	NA	NA	NA								
chr14-713	chr14	77032654	77033203	+	77031561	NA	NA	NA	NA	NA								
chr14-714	chr14	77033353	77033653	+	77031561	NA	NA	NA	NA	NA								
chr5-393	chr5	77030349	77031270	+	77030901	NA	NA	NA	NA	NA								
chr14-711	chr14	77027740	77028968	+	77028085	NA	NA	NA	NA	NA								
chr14-707	chr14	77026223	77027036	+	77028085	NA	NA	NA	NA	NA								
chr14-708	chr14	77026223	77027036	+	77028085	NA	NA	NA	NA	NA								
chr14-712	chr14	77027740	77028968	+	77028085	NA	NA	NA	NA	NA								
chr14-710	chr14	77027740	77028968	+	77028085	NA	NA	NA	NA	NA								
chr14-709	chr14	77026223	77027036	+	77028085	NA	NA	NA	NA	NA								
chr13-310	chr13	77026142	77027675	+	77026766	NA	NA	NA	NA	NA								
chr13-309	chr13	77026142	77027675	+	77026766	NA	NA	NA	NA	NA								
chr14-706	chr14	77023381	77023805	+	77024542	NA	NA	NA	NA	NA								
chr8-485	chr8	76999608	77001176	+	77000169	NA	NA	NA	NA	NA								
chr8-486	chr8	76999608	77001176	+	77000169	NA	NA	NA	NA	NA								
chr8-484	chr8	76999608	77001176	+	77000169	NA	NA	NA	NA	NA								
chr13-308	chr13	76992478	76993128	+	76992597	NA	NA	NA	NA	NA								
chr13-307	chr13	76980348	76980531	+	76981174	NA	NA	NA	NA	NA								
chr14-705	chr14	76959233	76959675	+	76959635	NA	NA	NA	NA	NA								
chr4-378	chr4	76948601	76950353	+	76949750	NA	NA	NA	NA	NA								
chr4-375	chr4	76948601	76950353	+	76949750	NA	NA	NA	NA	NA								
chr4-380	chr4	76948601	76950353	+	76949750	NA	NA	NA	NA	NA								
chr4-376	chr4	76948601	76950353	+	76949750	NA	NA	NA	NA	NA								
chr4-377	chr4	76948601	76950353	+	76949750	NA	NA	NA	NA	NA								
chr4-379	chr4	76948601	76950353	+	76949750	NA	NA	NA	NA	NA								
chr15-503	chr15	76931321	76932266	+	76931737	NA	NA	NA	NA	NA								
chr15-502	chr15	76931321	76932266	+	76931737	NA	NA	NA	NA	NA								
chr15-501	chr15	76931321	76932266	+	76931737	NA	NA	NA	NA	NA								
chr14-701	chr14	76918684	76920396	+	76921839	NA	NA	NA	NA	NA								
chr14-703	chr14	76918684	76920396	+	76921839	NA	NA	NA	NA	NA								
chr14-704	chr14	76918684	76920396	+	76921839	NA	NA	NA	NA	NA								
chr14-702	chr14	76918684	76920396	+	76921839	NA	NA	NA	NA	NA								
chr14-700	chr14	76918684	76920396	+	76921839	NA	NA	NA	NA	NA								
chr4-374	chr4	76892502	76893004	+	76894151	NA	NA	NA	NA	NA								
chr13-304	chr13	76885128	76886971	+	76887550	NA	NA	NA	NA	NA								
chr13-303	chr13	76885128	76886971	+	76887550	NA	NA	NA	NA	NA								
chr13-300	chr13	76885128	76886971	+	76887550	NA	NA	NA	NA	NA								
chr13-302	chr13	76885128	76886971	+	76887550	NA	NA	NA	NA	NA								
chr13-306	chr13	76885128	76886971	+	76887550	NA	NA	NA	NA	NA								
chr13-305	chr13	76885128	76886971	+	76887550	NA	NA	NA	NA	NA								
chr13-301	chr13	76885128	76886971	+	76887550	NA	NA	NA	NA	NA								
chr12-866	chr12	76878126	76879807	+	76878192	NA	NA	NA	NA	NA								
chr12-865	chr12	76878126	76879807	+	76878192	NA	NA	NA	NA	NA								
chr12-867	chr12	76878126	76879807	+	76878192	NA	NA	NA	NA	NA								
chr12-868	chr12	76878126	76879807	+	76878192	NA	NA	NA	NA	NA								
chr17-1402	chr17	76868096	76868529	+	76868403	NA	NA	NA	NA	NA								
chr17-1401	chr17	76868096	76868529	+	76868403	NA	NA	NA	NA	NA								
chr11-1136	chr11	76860593	76861855	+	76860858	NA	NA	NA	NA	NA								
chr11-1135	chr11	76860593	76861855	+	76860858	NA	NA	NA	NA	NA								
chr11-1134	chr11	76860593	76861855	+	76860858	NA	NA	NA	NA	NA								
chr18-394	chr18	76822071	76824223	+	76822556	NA	NA	NA	NA	NA								
chr18-393	chr18	76822071	76824223	+	76822556	NA	NA	NA	NA	NA								
chr5-391	chr5	76818783	76819864	+	76818932	NA	NA	NA	NA	NA								
chr5-392	chr5	76820038	76820290	+	76818932	NA	NA	NA	NA	NA								
chr11-1132	chr11	76800997	76801166	+	76800363	NA	NA	NA	NA	NA								
chr11-1131	chr11	76799374	76799577	+	76800363	NA	NA	NA	NA	NA								
chr11-1133	chr11	76801506	76801958	+	76800363	NA	NA	NA	NA	NA								
chr11-1130	chr11	76798724	76799006	+	76800363	NA	NA	NA	NA	NA								
chr11-1127	chr11	76782983	76783553	+	76782580	NA	NA	NA	NA	NA								
chr11-1128	chr11	76784048	76784816	+	76782580	NA	NA	NA	NA	NA								
chr11-1129	chr11	76784048	76784816	+	76782580	NA	NA	NA	NA	NA								
chr12-864	chr12	76763589	76764785	+	76764102	NA	NA	NA	NA	NA								
chr12-863	chr12	76763589	76764785	+	76764102	NA	NA	NA	NA	NA								
chr12-862	chr12	76763589	76764785	+	76764102	NA	NA	NA	NA	NA								
chr14-699	chr14	76761384	76762112	+	76761467	NA	NA	NA	NA	NA								
chr11-1126	chr11	76760600	76761300	+	76759915	NA	NA	NA	NA	NA								
chr4-373	chr4	76758202	76758655	+	76758553	NA	NA	NA	NA	NA								
chr17-1397	chr17	76737460	76738533	+	76736449	NA	NA	NA	NA	NA								
chr17-1396	chr17	76736262	76736973	+	76736449	NA	NA	NA	NA	NA								
chr17-1399	chr17	76737460	76738533	+	76736449	NA	NA	NA	NA	NA								
chr17-1400	chr17	76737460	76738533	+	76736449	NA	NA	NA	NA	NA								
chr17-1398	chr17	76737460	76738533	+	76736449	NA	NA	NA	NA	NA								
chr8-481	chr8	76732731	76733537	+	76733301	NA	NA	NA	NA	NA								
chr8-483	chr8	76732731	76733537	+	76733301	NA	NA	NA	NA	NA								
chr8-482	chr8	76732731	76733537	+	76733301	NA	NA	NA	NA	NA								
chr17-1393	chr17	76725695	76727365	+	76726829	NA	NA	NA	NA	NA								
chr17-1394	chr17	76725695	76727365	+	76726829	NA	NA	NA	NA	NA								
chr17-1395	chr17	76725695	76727365	+	76726829	NA	NA	NA	NA	NA								
chr17-1392	chr17	76721052	76721446	+	76721215	NA	NA	NA	NA	NA								
chr5-390	chr5	76715643	76716684	+	76716125	NA	NA	NA	NA	NA								
chr5-389	chr5	76715643	76716684	+	76716125	NA	NA	NA	NA	NA								
chr17-1391	chr17	76710105	76711061	+	76709759	NA	NA	NA	NA	NA								
chr8-480	chr8	76682085	76682896	+	76681238	NA	NA	NA	NA	NA								
chr8-479	chr8	76682085	76682896	+	76681238	NA	NA	NA	NA	NA								
chr8-478	chr8	76682085	76682896	+	76681238	NA	NA	NA	NA	NA								
chr18-392	chr18	76620293	76620742	+	76622135	NA	NA	NA	NA	NA								
chr17-1390	chr17	76569818	76570310	+	76569791	NA	NA	NA	NA	NA								
chr12-861	chr12	76558716	76560387	+	76559869	NA	NA	NA	NA	NA								
chr12-860	chr12	76558716	76560387	+	76559869	NA	NA	NA	NA	NA								
chr17-1387	chr17	76557152	76557902	+	76557726	NA	NA	NA	NA	NA								
chr17-1388	chr17	76557152	76557902	+	76557726	NA	NA	NA	NA	NA								
chr17-1389	chr17	76557152	76557902	+	76557726	NA	NA	NA	NA	NA								
chr18-389	chr18	76491840	76492524	+	76491628	NA	NA	NA	NA	NA								
chr18-391	chr18	76492610	76493163	+	76491628	NA	NA	NA	NA	NA								
chr18-388	chr18	76491840	76492524	+	76491628	NA	NA	NA	NA	NA								
chr18-390	chr18	76491840	76492524	+	76491628	NA	NA	NA	NA	NA								
chr18-387	chr18	76491477	76491789	+	76491628	NA	NA	NA	NA	NA								
chr17-1386	chr17	76452360	76453462	+	76453350	NA	NA	NA	NA	NA								
chr17-1385	chr17	76452360	76453462	+	76453350	NA	NA	NA	NA	NA								
chr17-1384	chr17	76452360	76453462	+	76453350	NA	NA	NA	NA	NA								
chr11-1123	chr11	76444187	76445306	+	76444922	NA	NA	NA	NA	NA								
chr11-1122	chr11	76444187	76445306	+	76444922	NA	NA	NA	NA	NA								
chr11-1121	chr11	76444187	76445306	+	76444922	NA	NA	NA	NA	NA								
chr11-1125	chr11	76445418	76446038	+	76444922	NA	NA	NA	NA	NA								
chr11-1124	chr11	76445418	76446038	+	76444922	NA	NA	NA	NA	NA								
chr4-372	chr4	76436421	76436729	+	76435228	NA	NA	NA	NA	NA								
chr4-371	chr4	76435430	76436295	+	76435228	NA	NA	NA	NA	NA								
chr4-370	chr4	76435430	76436295	+	76435228	NA	NA	NA	NA	NA								
chr4-369	chr4	76435430	76436295	+	76435228	NA	NA	NA	NA	NA								
chr5-388	chr5	76404751	76405099	+	76403284	NA	NA	NA	NA	NA								
chr5-384	chr5	76402700	76403677	+	76403284	NA	NA	NA	NA	NA								
chr5-382	chr5	76402700	76403677	+	76403284	NA	NA	NA	NA	NA								
chr5-383	chr5	76402700	76403677	+	76403284	NA	NA	NA	NA	NA								
chr5-385	chr5	76403798	76404630	+	76403284	NA	NA	NA	NA	NA								
chr5-387	chr5	76403798	76404630	+	76403284	NA	NA	NA	NA	NA								
chr5-386	chr5	76403798	76404630	+	76403284	NA	NA	NA	NA	NA								
chr11-1118	chr11	76379963	76381789	+	76381302	NA	NA	NA	NA	NA								
chr11-1120	chr11	76379963	76381789	+	76381302	NA	NA	NA	NA	NA								
chr11-1119	chr11	76379963	76381789	+	76381302	NA	NA	NA	NA	NA								
chr7-355	chr7	76359259	76359802	+	76361767	NA	NA	NA	NA	NA								
chr7-354	chr7	76359259	76359802	+	76361767	NA	NA	NA	NA	NA								
chr15-500	chr15	76341147	76341428	+	76339608	NA	NA	NA	NA	NA								
chr4-368	chr4	76306149	76307875	+	76306732	NA	NA	NA	NA	NA								
chr4-367	chr4	76306149	76307875	+	76306732	NA	NA	NA	NA	NA								
chr4-366	chr4	76306149	76307875	+	76306732	NA	NA	NA	NA	NA								
chr7-353	chr7	76302283	76302782	+	76302672	NA	NA	NA	NA	NA								
chr7-352	chr7	76302283	76302782	+	76302672	NA	NA	NA	NA	NA								
chr17-1380	chr17	76264860	76265295	+	76265347	NA	NA	NA	NA	NA								
chr17-1383	chr17	76265975	76266836	+	76265347	NA	NA	NA	NA	NA								
chr17-1381	chr17	76265975	76266836	+	76265347	NA	NA	NA	NA	NA								
chr17-1382	chr17	76265975	76266836	+	76265347	NA	NA	NA	NA	NA								
chr4-362	chr4	76212624	76214409	+	76214039	NA	NA	NA	NA	NA								
chr4-364	chr4	76214772	76215255	+	76214039	NA	NA	NA	NA	NA								
chr4-363	chr4	76212624	76214409	+	76214039	NA	NA	NA	NA	NA								
chr4-365	chr4	76214772	76215255	+	76214039	NA	NA	NA	NA	NA								
chr4-361	chr4	76212624	76214409	+	76214039	NA	NA	NA	NA	NA								
chr4-360	chr4	76212624	76214409	+	76214039	NA	NA	NA	NA	NA								
chr11-1117	chr11	76208664	76209169	+	76210955	NA	NA	NA	NA	NA								
chr7-351	chr7	76201527	76202003	+	76201895	NA	NA	NA	NA	NA								
chr11-1116	chr11	76192322	76193007	+	76190724	NA	NA	NA	NA	NA								
chr4-359	chr4	76160348	76160898	+	76158736	NA	NA	NA	NA	NA								
chr14-696	chr14	76151415	76152727	+	76151915	NA	NA	NA	NA	NA								
chr14-697	chr14	76151415	76152727	+	76151915	NA	NA	NA	NA	NA								
chr14-698	chr14	76151415	76152727	+	76151915	NA	NA	NA	NA	NA								
chr4-356	chr4	76147687	76148975	+	76148560	NA	NA	NA	NA	NA								
chr4-357	chr4	76147687	76148975	+	76148560	NA	NA	NA	NA	NA								
chr4-358	chr4	76147687	76148975	+	76148560	NA	NA	NA	NA	NA								
chr17-1379	chr17	76141205	76141943	+	76142464	NA	NA	NA	NA	NA								
chr17-1378	chr17	76141205	76141943	+	76142464	NA	NA	NA	NA	NA								
chr17-1377	chr17	76088034	76088578	+	76090307	NA	NA	NA	NA	NA								
chr1-1178	chr1	76074254	76075355	+	76074745	NA	NA	NA	NA	NA								
chr1-1179	chr1	76074254	76075355	+	76074745	NA	NA	NA	NA	NA								
chr17-1375	chr17	76071844	76073002	+	76071960	NA	NA	NA	NA	NA								
chr17-1376	chr17	76071844	76073002	+	76071960	NA	NA	NA	NA	NA								
chr17-1374	chr17	76071844	76073002	+	76071960	NA	NA	NA	NA	NA								
chr17-1373	chr17	76071844	76073002	+	76071960	NA	NA	NA	NA	NA								
chr15-497	chr15	76058869	76060574	+	76059957	NA	NA	NA	NA	NA								
chr15-498	chr15	76058869	76060574	+	76059957	NA	NA	NA	NA	NA								
chr15-499	chr15	76058869	76060574	+	76059957	NA	NA	NA	NA	NA								
chr7-350	chr7	76047654	76048602	+	76048050	NA	NA	NA	NA	NA								
chr7-349	chr7	76047654	76048602	+	76048050	NA	NA	NA	NA	NA								
chr12-857	chr12	76028608	76028890	+	76030493	NA	NA	NA	NA	NA								
chr12-858	chr12	76031027	76031962	+	76030493	NA	NA	NA	NA	NA								
chr12-859	chr12	76031027	76031962	+	76030493	NA	NA	NA	NA	NA								
chr4-355	chr4	76009944	76010185	+	76011183	NA	NA	NA	NA	NA								
chr17-1371	chr17	76005282	76005956	+	76004501	NA	NA	NA	NA	NA								
chr17-1372	chr17	76005282	76005956	+	76004501	NA	NA	NA	NA	NA								
chr4-354	chr4	76002745	76003465	+	76001274	NA	NA	NA	NA	NA								
chr7-344	chr7	75993177	75995117	+	75996337	NA	NA	NA	NA	NA								
chr7-348	chr7	75993177	75995117	+	75996337	NA	NA	NA	NA	NA								
chr7-342	chr7	75993177	75995117	+	75996337	NA	NA	NA	NA	NA								
chr7-345	chr7	75993177	75995117	+	75996337	NA	NA	NA	NA	NA								
chr7-343	chr7	75993177	75995117	+	75996337	NA	NA	NA	NA	NA								
chr7-346	chr7	75993177	75995117	+	75996337	NA	NA	NA	NA	NA								
chr7-347	chr7	75993177	75995117	+	75996337	NA	NA	NA	NA	NA								
chr17-1370	chr17	75978774	75979921	+	75979239	NA	NA	NA	NA	NA								
chr17-1369	chr17	75978774	75979921	+	75979230	NA	NA	NA	NA	NA								
chr4-353	chr4	75940396	75941147	+	75940949	NA	NA	NA	NA	NA								
chr4-352	chr4	75940396	75941147	+	75940949	NA	NA	NA	NA	NA								
chr7-340	chr7	75920541	75921145	+	75922754	NA	NA	NA	NA	NA								
chr7-341	chr7	75920541	75921145	+	75922754	NA	NA	NA	NA	NA								
chr7-338	chr7	75914232	75915598	+	75915196	NA	NA	NA	NA	NA								
chr7-339	chr7	75914232	75915598	+	75915196	NA	NA	NA	NA	NA								
chr9-344	chr9	75890281	75891917	+	75890643	NA	NA	NA	NA	NA								
chr9-347	chr9	75892602	75892878	+	75890643	NA	NA	NA	NA	NA								
chr9-346	chr9	75890281	75891917	+	75890643	NA	NA	NA	NA	NA								
chr9-343	chr9	75890281	75891917	+	75890643	NA	NA	NA	NA	NA								
chr9-345	chr9	75890281	75891917	+	75890643	NA	NA	NA	NA	NA								
chr17-1368	chr17	75877781	75878802	+	75876371	NA	NA	NA	NA	NA								
chr17-1367	chr17	75877781	75878802	+	75876371	NA	NA	NA	NA	NA								
chr17-1366	chr17	75872839	75873146	+	75874163	NA	NA	NA	NA	NA								
chr13-299	chr13	75870385	75870914	+	75871037	NA	NA	NA	NA	NA								
chr13-298	chr13	75870385	75870914	+	75871037	NA	NA	NA	NA	NA								
chr17-1365	chr17	75844354	75845239	+	75845698	NA	NA	NA	NA	NA								
chr11-1114	chr11	75814671	75817407	+	75815209	NA	NA	NA	NA	NA								
chr11-1115	chr11	75814671	75817407	+	75815209	NA	NA	NA	NA	NA								
chr11-1113	chr11	75814671	75817407	+	75815209	NA	NA	NA	NA	NA								
chr11-1110	chr11	75814671	75817407	+	75815209	NA	NA	NA	NA	NA								
chr11-1112	chr11	75814671	75817407	+	75815209	NA	NA	NA	NA	NA								
chr11-1111	chr11	75814671	75817407	+	75815209	NA	NA	NA	NA	NA								
chr11-1109	chr11	75814671	75817407	+	75815209	NA	NA	NA	NA	NA								
chr14-695	chr14	75812642	75813071	+	75814501	NA	NA	NA	NA	NA								
chr11-1107	chr11	75802449	75803475	+	75803430	NA	NA	NA	NA	NA								
chr11-1108	chr11	75802449	75803475	+	75803430	NA	NA	NA	NA	NA								
chr11-1106	chr11	75799324	75799507	+	75800876	NA	NA	NA	NA	NA								
chr17-1358	chr17	75784385	75786042	+	75784805	NA	NA	NA	NA	NA								
chr17-1364	chr17	75784385	75786042	+	75784805	NA	NA	NA	NA	NA								
chr17-1360	chr17	75784385	75786042	+	75784805	NA	NA	NA	NA	NA								
chr17-1362	chr17	75784385	75786042	+	75784805	NA	NA	NA	NA	NA								
chr17-1359	chr17	75784385	75786042	+	75784520	NA	NA	NA	NA	NA								
chr17-1356	chr17	75783097	75783252	+	75784520	NA	NA	NA	NA	NA								
chr17-1363	chr17	75784385	75786042	+	75784520	NA	NA	NA	NA	NA								
chr17-1357	chr17	75784385	75786042	+	75784520	NA	NA	NA	NA	NA								
chr17-1361	chr17	75784385	75786042	+	75784520	NA	NA	NA	NA	NA								
chr11-1105	chr11	75757576	75758103	+	75758454	NA	NA	NA	NA	NA								
chr11-1104	chr11	75757576	75758103	+	75758454	NA	NA	NA	NA	NA								
chr17-1355	chr17	75753498	75755650	+	75751593	NA	NA	NA	NA	NA								
chr17-1354	chr17	75753498	75755650	+	75751593	NA	NA	NA	NA	NA								
chr17-1352	chr17	75753498	75755650	+	75751593	NA	NA	NA	NA	NA								
chr17-1351	chr17	75753498	75755650	+	75751593	NA	NA	NA	NA	NA								
chr17-1353	chr17	75753498	75755650	+	75751593	NA	NA	NA	NA	NA								
chr17-1349	chr17	75749960	75750382	+	75751593	NA	NA	NA	NA	NA								
chr17-1350	chr17	75749960	75750382	+	75751593	NA	NA	NA	NA	NA								
chr6-618	chr6	75748938	75749859	+	75749200	NA	NA	NA	NA	NA								
chr11-1103	chr11	75741396	75742042	+	75742128	NA	NA	NA	NA	NA								
chr11-1102	chr11	75741396	75742042	+	75742128	NA	NA	NA	NA	NA								
chr4-351	chr4	75724199	75725620	+	75724576	NA	NA	NA	NA	NA								
chr4-350	chr4	75724199	75725620	+	75724576	NA	NA	NA	NA	NA								
chr4-349	chr4	75724199	75725620	+	75724576	NA	NA	NA	NA	NA								
chr15-496	chr15	75725311	75726102	+	75724040	NA	NA	NA	NA	NA								
chr17-1347	chr17	75720866	75722189	+	75721327	NA	NA	NA	NA	NA								
chr17-1348	chr17	75720866	75722189	+	75721327	NA	NA	NA	NA	NA								
chr17-1346	chr17	75720866	75722189	+	75721327	NA	NA	NA	NA	NA								
chr11-1101	chr11	75717539	75718392	+	75717837	NA	NA	NA	NA	NA								
chr2-638	chr2	75710210	75710966	+	75710781	NA	NA	NA	NA	NA								
chr2-639	chr2	75710210	75710966	+	75710781	NA	NA	NA	NA	NA								
chr13-297	chr13	75687300	75687441	+	75688555	NA	NA	NA	NA	NA								
chr14-694	chr14	75648232	75648901	+	75649790	NA	NA	NA	NA	NA								
chr16-924	chr16	75647247	75648676	+	75647772	NA	NA	NA	NA	NA								
chr16-923	chr16	75647247	75648676	+	75647772	NA	NA	NA	NA	NA								
chr2-637	chr2	75646471	75647388	+	75646782	NA	NA	NA	NA	NA								
chr2-636	chr2	75646471	75647388	+	75646782	NA	NA	NA	NA	NA								
chr4-348	chr4	75643543	75643867	+	75641848	NA	NA	NA	NA	NA								
chr14-693	chr14	75605740	75607304	+	75604208	NA	NA	NA	NA	NA								
chr14-692	chr14	75605740	75607304	+	75604208	NA	NA	NA	NA	NA								
chr6-615	chr6	75601575	75603147	+	75601508	NA	NA	NA	NA	NA								
chr6-613	chr6	75601575	75603147	+	75601508	NA	NA	NA	NA	NA								
chr6-616	chr6	75601575	75603147	+	75601508	NA	NA	NA	NA	NA								
chr6-617	chr6	75601575	75603147	+	75601508	NA	NA	NA	NA	NA								
chr6-614	chr6	75601575	75603147	+	75601508	NA	NA	NA	NA	NA								
chr12-856	chr12	75599960	75600054	+	75600046	NA	NA	NA	NA	NA								
chr2-635	chr2	75598704	75599102	+	75598070	NA	NA	NA	NA	NA								
chr17-1343	chr17	75587666	75588743	+	75587799	NA	NA	NA	NA	NA								
chr17-1342	chr17	75587666	75588743	+	75587799	NA	NA	NA	NA	NA								
chr17-1344	chr17	75587666	75588743	+	75587799	NA	NA	NA	NA	NA								
chr17-1345	chr17	75587666	75588743	+	75587799	NA	NA	NA	NA	NA								
chr14-684	chr14	75577726	75579685	+	75578619	NA	NA	NA	NA	NA								
chr14-683	chr14	75577726	75579685	+	75578619	NA	NA	NA	NA	NA								
chr14-688	chr14	75577726	75579685	+	75578619	NA	NA	NA	NA	NA								
chr14-689	chr14	75579103	75579663	+	75578619	NA	NA	NA	NA	NA								
chr14-691	chr14	75579103	75579663	+	75578619	NA	NA	NA	NA	NA								
chr14-686	chr14	75577726	75579685	+	75578619	NA	NA	NA	NA	NA								
chr14-690	chr14	75579103	75579663	+	75578619	NA	NA	NA	NA	NA								
chr14-685	chr14	75577726	75579685	+	75578619	NA	NA	NA	NA	NA								
chr14-687	chr14	75577726	75579685	+	75578619	NA	NA	NA	NA	NA								
chr16-919	chr16	75564971	75566754	+	75566374	NA	NA	NA	NA	NA								
chr16-918	chr16	75564971	75566754	+	75566374	NA	NA	NA	NA	NA								
chr16-921	chr16	75564971	75566754	+	75566374	NA	NA	NA	NA	NA								
chr16-920	chr16	75564971	75566754	+	75566374	NA	NA	NA	NA	NA								
chr16-922	chr16	75566840	75567204	+	75566374	NA	NA	NA	NA	NA								
chr16-917	chr16	75555835	75556469	+	75556391	NA	NA	NA	NA	NA								
chr16-916	chr16	75555835	75556469	+	75556391	NA	NA	NA	NA	NA								
chr13-295	chr13	75549679	75550387	+	75549772	NA	NA	NA	NA	NA								
chr13-296	chr13	75549679	75550387	+	75549772	NA	NA	NA	NA	NA								
chr13-294	chr13	75549200	75549534	+	75549479	NA	NA	NA	NA	NA								
chr17-1340	chr17	75525394	75526339	+	75525079	NA	NA	NA	NA	NA								
chr17-1341	chr17	75525394	75526339	+	75525079	NA	NA	NA	NA	NA								
chr17-1339	chr17	75525394	75526339	+	75525079	NA	NA	NA	NA	NA								
chr17-1337	chr17	75516384	75516890	+	75515943	NA	NA	NA	NA	NA								
chr17-1333	chr17	75514442	75514738	+	75515943	NA	NA	NA	NA	NA								
chr17-1338	chr17	75516384	75516890	+	75515943	NA	NA	NA	NA	NA								
chr17-1335	chr17	75515408	75516180	+	75515943	NA	NA	NA	NA	NA								
chr17-1336	chr17	75515408	75516180	+	75515943	NA	NA	NA	NA	NA								
chr17-1334	chr17	75515408	75516180	+	75515943	NA	NA	NA	NA	NA								
chr4-344	chr4	75513880	75515223	+	75513945	NA	NA	NA	NA	NA								
chr4-347	chr4	75513880	75515223	+	75513945	NA	NA	NA	NA	NA								
chr4-346	chr4	75513880	75515223	+	75513945	NA	NA	NA	NA	NA								
chr4-345	chr4	75513880	75515223	+	75513945	NA	NA	NA	NA	NA								
chr5-378	chr5	75510612	75512154	+	75511755	NA	NA	NA	NA	NA								
chr5-381	chr5	75510612	75512154	+	75511755	NA	NA	NA	NA	NA								
chr5-379	chr5	75510612	75512154	+	75511755	NA	NA	NA	NA	NA								
chr5-377	chr5	75510612	75512154	+	75511755	NA	NA	NA	NA	NA								
chr5-380	chr5	75510612	75512154	+	75511755	NA	NA	NA	NA	NA								
chr11-1100	chr11	75506207	75506735	+	75506936	NA	NA	NA	NA	NA								
chr11-1099	chr11	75506207	75506735	+	75506936	NA	NA	NA	NA	NA								
chr15-495	chr15	75464603	75464917	+	75463250	NA	NA	NA	NA	NA								
chr15-488	chr15	75450765	75451369	+	75452963	NA	NA	NA	NA	NA								
chr15-489	chr15	75451616	75452367	+	75452963	NA	NA	NA	NA	NA								
chr15-491	chr15	75451616	75452367	+	75452963	NA	NA	NA	NA	NA								
chr15-494	chr15	75453924	75454891	+	75452963	NA	NA	NA	NA	NA								
chr15-493	chr15	75453924	75454891	+	75452963	NA	NA	NA	NA	NA								
chr15-490	chr15	75451616	75452367	+	75452963	NA	NA	NA	NA	NA								
chr15-492	chr15	75452601	75452755	+	75452963	NA	NA	NA	NA	NA								
chr15-487	chr15	75450765	75451369	+	75452963	NA	NA	NA	NA	NA								
chr16-914	chr16	75432908	75433727	+	75433835	NA	NA	NA	NA	NA								
chr16-915	chr16	75432908	75433727	+	75433835	NA	NA	NA	NA	NA								
chr10-444	chr10	75431149	75432007	+	75431623	NA	NA	NA	NA	NA								
chr10-446	chr10	75432818	75433119	+	75431623	NA	NA	NA	NA	NA								
chr10-445	chr10	75431149	75432007	+	75431623	NA	NA	NA	NA	NA								
chr14-677	chr14	75427188	75429455	+	75427715	NA	NA	NA	NA	NA								
chr14-680	chr14	75427188	75429455	+	75427715	NA	NA	NA	NA	NA								
chr14-682	chr14	75427188	75429455	+	75427715	NA	NA	NA	NA	NA								
chr14-676	chr14	75427188	75429455	+	75427715	NA	NA	NA	NA	NA								
chr14-679	chr14	75427188	75429455	+	75427715	NA	NA	NA	NA	NA								
chr14-678	chr14	75427188	75429455	+	75427715	NA	NA	NA	NA	NA								
chr14-681	chr14	75427188	75429455	+	75427715	NA	NA	NA	NA	NA								
chr10-443	chr10	75408944	75409882	+	75409141	NA	NA	NA	NA	NA								
chr10-442	chr10	75408944	75409882	+	75409141	NA	NA	NA	NA	NA								
chr10-440	chr10	75407410	75408346	+	75408536	NA	NA	NA	NA	NA								
chr10-439	chr10	75407410	75408346	+	75408536	NA	NA	NA	NA	NA								
chr10-441	chr10	75407410	75408346	+	75408536	NA	NA	NA	NA	NA								
chr8-476	chr8	75407083	75408150	+	75407913	NA	NA	NA	NA	NA								
chr8-477	chr8	75407083	75408150	+	75407913	NA	NA	NA	NA	NA								
chr17-1330	chr17	75405019	75406514	+	75406068	NA	NA	NA	NA	NA								
chr17-1327	chr17	75405019	75406514	+	75406068	NA	NA	NA	NA	NA								
chr17-1331	chr17	75405019	75406514	+	75406068	NA	NA	NA	NA	NA								
